name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1643851785_shape_20220203_00.50.28_5c6b,2022-02-03T01:34:01.621513,2022-05-17T21:20:50.161611,-115.91272692675085,-104.49986795208189,004f54bb-2ab0-42c8-925f-a8bb666ba48b
1649708470_shape_20220411_19.48.53_5c6b,2022-04-11T20:23:32.502996,2022-05-17T21:22:25.049362,-10.957104173765284,-10.328060125369674,0056595c-575e-423a-bbf3-89693a807e2b
1651052921_shape_20220427_09.18.55_5c6b,2022-04-27T09:51:10.061959,2022-05-17T21:23:38.068901,-22.321411317110886,-22.436235560579895,009654db-8fcb-4c93-84f7-418e5a6e748b
1647979960_shape_20220322_18.13.25_5c6b,2022-03-22T20:16:36.293516,2022-05-17T21:25:54.144041,-32.831216342781985,-19.547578557742497,009b7ef2-c263-46a4-8a4c-d10ed192bce0
1643337146_shape_20220128_01.52.23_5c6b,2022-01-28T02:36:21.662491,2022-05-17T21:27:43.369866,-66.4724928676701,-59.35918356146516,00e319a8-9ea2-42ab-b4c2-801dfbc2722a
1650217034_shape_20220417_17.04.58_5c6b,2022-04-17T17:39:32.524234,2022-05-21T01:42:46.636192,-10.572996885524121,-10.348974152451468,013c7f5f-904d-4c0a-9a23-8693c5585b7d
1648205916_shape_20220325_08.15.44_5c6b,2022-03-25T11:02:24.506734,2022-05-21T01:42:52.308734,-20.495178948012423,-5.224159504593792,0142b04e-a4dd-464c-8d5b-4e53531feaf3
1648147424_shape_20220324_17.55.34_5c6b,2022-03-24T18:47:41.343879,2022-05-21T01:42:57.716789,-8.480342609803149,-4.828463196309442,01dfa7a9-5154-438e-8d7c-f253bcbce9a0
1651435944_shape_20220501_19.37.36_5c6b,2022-05-01T20:14:59.196358,2022-05-21T01:43:03.057368,-10.743261889193391,-11.535476759963686,01e763f7-0649-4c97-a575-ccf7685c8f08
1651902878_shape_20220507_05.24.54_5c6b,2022-05-07T05:57:24.646488,2022-05-21T01:43:08.348224,-16.170133806850867,-16.993191256726032,01ea4562-44a2-4917-bb62-771c5f2fa536
1647630371_shape_20220318_18.18.34_5c6b,2022-03-18T19:10:17.365278,2022-05-21T01:43:13.671784,-22.773694008350464,-13.175082530828362,01f4f27f-ecf2-472a-85c5-669dd422b9d9
1643740080_shape_20220201_17.48.31_5c6b,2022-02-01T18:32:08.761351,2022-05-21T01:43:18.935522,-287.4991688338146,-277.8737932652943,022d0721-f9ff-4404-896e-d92bf721cc1a
1649646218_shape_20220411_02.34.29_5c6b,2022-04-11T03:05:57.771140,2022-05-21T01:43:24.025658,-10.434968314456867,-9.667241888516825,025d152d-c2f7-4f39-a726-44023011206a
1648054939_shape_20220323_14.30.59_5c6b,2022-03-23T17:06:23.099981,2022-05-21T01:43:29.226751,-27.07900605365271,-7.016248056252302,02b84be9-6d59-4d3c-9e3a-1353f73092e9
1649307115_shape_20220407_04.18.51_5c6b,2022-04-07T04:54:14.120074,2022-05-21T01:43:34.730345,-29.508851905706617,-17.981308385621414,02baf172-1267-4f34-b184-df6cb3467ef9
1651390322_shape_20220501_06.56.16_5c6b,2022-05-01T07:34:37.554226,2022-05-21T01:43:40.264547,-10.154729604831772,-9.780564209687286,03218909-f5c3-4e5e-9118-b34cf0273dc7
1651078479_shape_20220427_16.22.28_5c6b,2022-04-27T16:57:03.089204,2022-05-21T01:43:45.417230,-7.267952819354906,-2.2622051619165884,035e410e-fa42-4739-9326-c5592166eb85
1649806633_shape_20220412_23.06.07_5c6b,2022-04-12T23:39:34.032284,2022-05-21T01:43:51.580214,-8.922277263336136,-7.0010260700976366,03dd9fcb-f3ae-40f0-90ad-de119f561051
1646135283_shape_20220301_11.21.50_5c6b,2022-03-01T11:50:29.802712,2022-05-21T01:43:56.618063,-28.722733195758327,-2.4714862876668016,04049258-7602-4555-b73e-d6a2c6894a44
1649198565_shape_20220405_22.10.54_5c6b,2022-04-05T22:45:04.614586,2022-05-21T01:44:01.441354,-5.806986535359085,-3.626277778669902,041aea35-8fdf-41b9-b16a-757dcf82aeb2
